filename_cnf,clause_count,var_count,tseitin_var_count
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_075.cnf,17634,8169,2819
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_003.cnf,500,200,100
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_007.cnf,539,200,100
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_121.cnf,20635,9386,2828
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_031.cnf,1888,777,507
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_105.cnf,24552,10926,3449
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_051.cnf,2236,1060,735
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_139.cnf,19238,6615,5761
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_107.cnf,8311,3045,1528
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_093.cnf,5667,2065,1060
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_011.cnf,321,120,60
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_015.cnf,564,200,100
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_055.cnf,2770,1332,908
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_061.cnf,2494,568,197
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_085.cnf,4974,1112,393
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_137.cnf,14474,5155,4779
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_021.cnf,1189,586,388
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_079.cnf,3893,1548,913
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_099.cnf,5216,1843,968
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_037.cnf,1776,781,583
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_115.cnf,24476,10908,3449
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_163.cnf,43212,15011,14297
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_185.cnf,22421,7657,7312
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_133.cnf,31795,9638,6358
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_157.cnf,14402,5107,4756
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_197.cnf,126997,50461,21516
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_009.cnf,369,140,70
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_101.cnf,6893,2815,1060
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_001.cnf,350,140,70
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_195.cnf,57754,23492,13141
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_103.cnf,2152,586,243
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_013.cnf,255,100,50
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_109.cnf,24836,10995,3449
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_141.cnf,19474,6725,5838
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_037.cnf,1888,777,507
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_005.cnf,250,100,50
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_105.cnf,8914,3498,2433
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_011.cnf,523,200,100
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_093.cnf,4669,1736,1547
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_193.cnf,57946,25615,9241
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_063.cnf,2236,1060,735
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_149.cnf,44709,17918,8694
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_049.cnf,1964,795,507
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_099.cnf,7454,1656,589
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_075.cnf,8732,3766,1426
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_117.cnf,20635,9386,2828
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_003.cnf,499,200,99
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_007.cnf,360,140,70
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_170.cnf,24098,8146,7884
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_044.cnf,8918,3383,2347
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_158.cnf,20199,6870,6608
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_096.cnf,10101,4131,1528
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_100.cnf,67419,16767,14868
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_076.cnf,5216,1843,968
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_110.cnf,65874,16162,14651
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_010.cnf,17634,8169,2819
../sources/cnf2tseitin/cnf/MC2023_track1-mc-private/mc2023_track1_090.cnf,6809,2687,968
