filepath,var_count,tseitin_var_count,compile_time,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/problog_bn_query/alarm.net.vENTALV(HIGH).pl,414,216,1.380,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.hRSAT(HIGH).pl,1101,574,5.952,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
../sources/problog_bn_query/alarm.net.hRSAT(LOW).pl,1101,574,7.336,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
../sources/problog_bn_query/alarm.net.pRESS(NORMAL).pl,206,116,0.347,125,2594,149,2895,125,819,149,1120,125,819,149,1120
../sources/problog_bn_query/alarm.net.bP(HIGH).pl,1221,638,8.540,2230,85397,2239,86626,2230,24457,2239,25686,2230,24457,2239,25686
../sources/problog_bn_query/alarm.net.hR(HIGH).pl,1069,555,7.745,2389,174793,2391,175259,2389,43543,2391,44009,2389,43543,2391,44009
../sources/problog_bn_query/alarm.net.hREKG(HIGH).pl,1101,574,5.819,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
../sources/problog_bn_query/alarm.net.sAO2(NORMAL).pl,629,323,1.749,804,21726,810,22067,804,7813,810,8154,804,7813,810,8154
../sources/problog_bn_query/alarm.net.eXPCO2(LOW).pl,569,295,1.405,577,14810,589,15093,577,4826,589,5109,577,4826,589,5109
../sources/problog_bn_query/alarm.net.mINVOL(HIGH).pl,414,216,0.491,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.pRESS(HIGH).pl,206,116,0.347,125,2594,149,2895,125,819,149,1120,125,819,149,1120
../sources/problog_bn_query/alarm.net.pVSAT(NORMAL).pl,529,272,1.049,406,7939,414,8333,406,2901,414,3295,406,2901,414,3295
