filepath,var_count,tseitin_var_count,compile_time,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/problog_src/05_smokers_20_f.pl,156,52,0.066,190,1421,252,1588,190,768,252,935,158,687,220,906
../sources/problog_src/weather_50.pl,596,296,0.217,485,6522,487,6536,485,3022,487,3036,485,3022,487,3036
../sources/problog_src/05_smokers_10_f.pl,229,168,0.418,2164,73849,2199,77722,2164,12917,2199,16790,1993,10959,2029,15068
../sources/problog_src/05_smokers_10_2_f.pl,402,339,4.027,30716,1604302,30752,1627550,30716,166774,30752,190022,24507,119826,24544,170589
../sources/problog_src/games/biased_coin_toss3_100_100_f.pl,601,398,0.226,669,17070,869,17270,669,8438,869,8638,441,1206,641,14422
../sources/problog_src/games/card_drawing_10.pl,13766,11775,4.388,9987,101950,10700,103016,9987,17529,10700,18595,241,400,2216,3101
../sources/problog_src/games/biased_coin_toss1_100.pl,502,300,0.229,397,11889,597,12089,397,10101,597,10301,199,201,399,10301
../sources/problog_src/games/card_drawing.pl,0,130980,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/games/card_drawing_f.pl,0,130980,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-eu/no_gcc_2.pl,416,237,0.647,3133,77439,3273,77838,3133,13007,3273,13406,2693,10202,2861,16967
../sources/problog_src/powergrid-reliability-latour2019/pgr-eu/hr_gcc_0.pl,401,255,2.557,19384,330531,19496,333547,19384,75774,19496,78790,16842,62770,16975,94059
../sources/problog_src/powergrid-reliability-latour2019/pgr-eu/ru_gcc_1.pl,892,676,105.954,365762,15470185,365922,15477906,365762,1852054,365922,1859775,358219,1719608,358401,3636829
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/mexicocity_gcc_0.pl,333,204,0.728,843,12956,935,13240,843,2542,935,2826,411,1462,523,3123
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0_1.pl,701,483,20.077,111788,2753027,111960,2761828,111788,454625,111960,463426,107617,416187,107826,579458
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/arkansas_gcc_0_4.pl,824,544,5.639,37162,712762,37383,716558,37162,161905,37383,165701,33902,143562,34174,212693
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/bajacalifornia_gcc_0.pl,537,412,11.054,48766,2270128,48858,2270583,48766,216475,48858,216930,48464,200503,48575,313652
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/minnesota_gcc_1.pl,532,392,7.901,48534,1268985,48642,1271881,48534,212785,48642,215681,46938,188791,47069,267049
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0_4.pl,581,363,2.232,14788,228593,14960,231070,14788,56580,14960,59057,13423,48380,13637,76914
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1_3.pl,455,290,1.329,10598,161926,10726,163935,10598,35994,10726,38003,8713,29349,8871,43752
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1_4.pl,436,271,1.581,13376,197248,13504,199854,13376,47162,13504,49768,11006,38213,11163,59409
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/westvirginia_gcc_0.pl,548,404,3.886,24719,664103,24831,665776,24719,100476,24831,102149,22814,82835,22951,134300
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/arkansas_gcc_0_2.pl,765,486,0.678,3706,57385,3926,58402,3706,13636,3926,14653,1738,6804,2011,12642
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/nuevoleon_gcc_0_2.pl,480,317,1.280,8904,146324,9032,147717,8904,32929,9032,34322,7924,28065,8082,43436
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/sanluispotosi_gcc_0.pl,486,328,6.844,42836,816093,42956,817337,42836,184937,42956,186181,39696,168002,39843,237408
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/arkansas_gcc_0_3.pl,767,488,2.683,17146,330729,17366,332553,17146,69418,17366,71242,15576,60919,15848,89026
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/nuevoleon_gcc_0_1.pl,669,506,62.466,303863,11578107,303991,11594715,303863,1204924,303991,1221532,294554,1065080,294703,1702332
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0_2.pl,615,397,5.056,38290,665420,38462,671064,38290,144069,38462,149713,35840,128647,36052,180907
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/newhampshire_gcc_0.pl,646,407,0.489,2450,41876,2622,42563,2450,7120,2622,7807,645,2273,857,5474
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/newyork_gcc_1.pl,382,255,2.244,12785,255108,12877,255762,12785,47997,12877,48651,11702,41117,11807,60581
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1_2.pl,450,285,2.242,18208,316731,18337,319053,18208,68256,18337,70578,16940,61598,17096,86257
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0_12.pl,0,708,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/nuevoleon_gcc_0_3.pl,485,321,1.641,13736,209152,13864,211759,13736,50221,13864,52828,12138,41114,12297,66767
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/chihuahua_gcc_0_1.pl,641,478,294.079,1442189,46187851,1442317,46231972,1442189,5548716,1442317,5592837,1429244,5315286,1429401,6740021
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/chihuahua_gcc_0_2.pl,633,470,180.126,1127982,34888835,1128110,34930849,1127982,4708721,1128110,4750735,1115578,4600902,1115735,5457457
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0_3.pl,613,395,7.445,46633,966052,46805,971170,46633,194078,46805,199196,45033,178453,45244,248827
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1_1.pl,530,365,4.837,36835,840053,36963,841685,36835,163076,36963,164708,35830,153095,35985,184028
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/arkansas_gcc_0_1.pl,869,590,8.190,53915,943605,54135,947486,53915,206479,54135,210360,50220,181990,50489,270637
