filepath,var_count,tseitin_var_count,compile_time,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/problog_src/games/biased_coin_toss1_50.pl,252,150,0.179,197,3439,297,3539,197,2551,297,2651,99,101,199,2651
../sources/problog_src/games/biased_coin_toss1_50.pl,252,150,0.171,199,3544,299,3644,199,2652,299,2752,101,202,201,2752
../sources/problog_src/games/biased_coin_toss3_50_50.pl,301,198,0.725,537,11604,637,11704,537,4826,637,4926,199,416,299,4364
../sources/problog_src/games/biased_coin_toss3_50_50_f.pl,301,198,0.894,537,11604,637,11704,537,4826,637,4926,199,416,299,4364
../sources/problog_src/games/biased_coin_toss1_50.pl,252,150,0.122,197,3439,297,3539,197,2551,297,2651,99,101,199,2651
../sources/problog_src/games/biased_coin_toss2_50.pl,300,198,0.365,1,399,101,499,1,101,101,201,1,101,101,201
../sources/problog_src/games/biased_coin_toss2_50.pl,300,198,0.123,1,399,101,499,1,101,101,201,1,101,101,201
../sources/problog_src/games/biased_coin_toss1_50.pl,252,150,0.174,197,3439,297,3539,197,2551,297,2651,99,101,199,2651
../sources/problog_src/games/biased_coin_toss1_50.pl,252,150,0.179,199,3544,299,3644,199,2652,299,2752,101,202,201,2752
../sources/problog_src/games/biased_coin_toss1_50.pl,252,150,0.123,199,3544,299,3644,199,2652,299,2752,101,202,201,2752
../sources/problog_src/games/biased_coin_toss3_50_50_f.pl,301,198,0.735,537,11604,637,11704,537,4826,637,4926,199,416,299,4364
../sources/problog_src/05_smokers_10.pl,229,168,0.860,2164,73849,2199,77722,2164,12917,2199,16790,1993,10959,2029,15068
../sources/problog_src/05_smokers_20.pl,156,52,0.225,190,1421,252,1588,190,768,252,935,158,687,220,906
../sources/problog_src/sum_4_1.pl,919,475,0.830,2326,52483,2326,52483,2326,24300,2326,24300,2326,24300,2326,24300
../sources/problog_src/weather_50.pl,603,298,3.724,916,13714,916,13714,916,6156,916,6156,916,6156,916,6156
../sources/problog_src/gossip-networks/gossip-protocols_8_13.pl,616,277,170.607,60391,1094980,60391,1094980,60391,634119,60391,634119,60391,634119,60391,634119
../sources/problog_src/gossip-networks/gossip-protocols_16_4.pl,287,124,30.891,8823,183437,8823,183437,8823,108675,8823,108675,8823,108675,8823,108675
../sources/problog_src/aircraft_flap_controller.pl,619,547,1.268,642,20882,642,20882,642,4585,642,4585,642,4585,642,4585
../sources/problog_src/games/biased_coin_toss1_100.pl,502,300,0.551,397,11889,597,12089,397,10101,597,10301,199,201,399,10301
../sources/problog_src/games/biased_coin_toss1_100.pl,502,300,0.631,399,12094,599,12294,399,10302,599,10502,201,402,401,10502
