filepath,var_count,tseitin_var_count,compile_time,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/problog_src/05_smokers_20_f.pl,156,52,0.066,190,1421,252,1588,190,768,252,935,158,687,220,906
../sources/problog_src/weather_50.pl,596,296,0.217,485,6522,487,6536,485,3022,487,3036,485,3022,487,3036
../sources/problog_src/05_smokers_10_f.pl,229,168,0.418,2164,73849,2199,77722,2164,12917,2199,16790,1993,10959,2029,15068
../sources/problog_src/aircraft_flap_controller_f.pl,619,547,0.218,642,20882,642,20882,642,4585,642,4585,642,4585,642,4585
../sources/problog_src/05_smokers_10_2_f.pl,402,339,4.027,30716,1604302,30752,1627550,30716,166774,30752,190022,24507,119826,24544,170589
../sources/problog_src/aircraft_flap_controller_20_f.pl,3424,3142,18.972,35117,2282034,35117,2282034,35117,377363,35117,377363,35117,377363,35117,377363
../sources/problog_src/games/biased_coin_toss3_100_100_f.pl,601,398,0.226,669,17070,869,17270,669,8438,869,8638,441,1206,641,14422
../sources/problog_src/games/card_drawing_10.pl,13766,11775,4.388,9987,101950,10700,103016,9987,17529,10700,18595,241,400,2216,3101
../sources/problog_src/games/biased_coin_toss1_100.pl,502,300,0.229,397,11889,597,12089,397,10101,597,10301,199,201,399,10301
../sources/problog_src/games/card_drawing.pl,0,130980,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/games/card_drawing_f.pl,0,130980,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/gossip-networks/gossip-protocols_8_13.pl,616,277,8.478,60391,1094980,60391,1094980,60391,634119,60391,634119,60391,634119,60391,634119
../sources/problog_src/gossip-networks/gossip-protocols_8_8.pl,346,152,1.784,12344,212153,12344,212153,12344,125081,12344,125081,12344,125081,12344,125081
../sources/problog_src/gossip-networks/gossip-protocols_16_4.pl,287,124,1.380,8823,183437,8823,183437,8823,108675,8823,108675,8823,108675,8823,108675
../sources/problog_src/gossip-networks/gossip-protocols_16_5.pl,434,195,104.403,700381,12797496,700381,12797496,700381,7359174,700381,7359174,700381,7359174,700381,7359174
../sources/problog_src/powergrid-reliability-latour2019/pgr-eu/no_gcc_2.pl,416,237,0.647,3133,77439,3273,77838,3133,13007,3273,13406,2693,10202,2861,16967
../sources/problog_src/powergrid-reliability-latour2019/pgr-eu/hr_gcc_0.pl,401,255,2.557,19384,330531,19496,333547,19384,75774,19496,78790,16842,62770,16975,94059
../sources/problog_src/powergrid-reliability-latour2019/pgr-eu/ru_gcc_1.pl,892,676,105.954,365762,15470185,365922,15477906,365762,1852054,365922,1859775,358219,1719608,358401,3636829
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/mexicocity_gcc_0.pl,333,204,0.268,843,12956,935,13240,843,2542,935,2826,411,1462,523,3123
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/bajacalifornia_gcc_0.pl,537,412,10.642,48766,2270128,48858,2270583,48766,216475,48858,216930,48464,200503,48575,313652
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/minnesota_gcc_1.pl,532,392,7.319,48534,1268985,48642,1271881,48534,212785,48642,215681,46938,188791,47069,267049
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/westvirginia_gcc_0.pl,548,404,3.968,24719,664103,24831,665776,24719,100476,24831,102149,22814,82835,22951,134300
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/chihuahua_gcc_0.pl,0,820,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/sanluispotosi_gcc_0.pl,486,328,6.473,42836,816093,42956,817337,42836,184937,42956,186181,39696,168002,39843,237408
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/newhampshire_gcc_0.pl,646,407,0.506,2450,41876,2622,42563,2450,7120,2622,7807,645,2273,857,5474
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/newyork_gcc_1.pl,382,255,2.612,12785,255108,12877,255762,12785,47997,12877,48651,11702,41117,11807,60581
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/arkansas_gcc_0.pl,0,1448,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/nuevoleon_gcc_0.pl,0,888,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1.pl,0,827,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0.pl,0,1122,0.000,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/guanajuato_gcc_0.pl,532,316,6.640,3417,56727,3589,57411,3417,13569,3589,14253,2931,11127,3141,19959
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1.pl,401,239,2.457,1991,22760,2119,23337,1991,6228,2119,6805,1663,5073,1820,8057
../sources/problog_src/powergrid-reliability-latour2019/pgr-na/illinois_gcc_1.pl,490,326,29.754,12404,241336,12532,242487,12404,50486,12532,51637,11679,46099,11834,60550
